"Date","PM2.5 AQI Value","Site Name","Site ID","Source","20-year High (2000-2019)","20-year Low (2000-2019)","5-year Average (2015-2019)","Date of 20-year High","Date of 20-year Low"
"05/27/2018","35","Camp Pendleton","06-073-1008","AQS","67","14","33.8","05/27/2009","05/27/2017"
"05/28/2018","43","Alpine","06-073-1006","AQS","67","27","40.6","05/28/2009","05/28/2017"
"05/29/2018","54","Pala Airpad","06-073-1201","AQS","62","26","50.2","05/29/2003","05/29/2008"
"05/30/2018","57","Pala Airpad","06-073-1201","AQS","68","35","54.4","05/30/2015","05/30/2009"
"05/31/2018","33","Pala Airpad","06-073-1201","AQS","86","30","53","05/31/2001","05/31/2009"
"06/01/2018","36","El Cajon - Lexington Elementary School","06-073-1022","AQS","181","30","49.6","06/01/2010","06/01/2017"
"06/02/2018","48","Donovan","06-073-1014","AQS","68","27","52.2","06/02/2013","06/02/2005"
"06/03/2018","61","El Cajon - Lexington Elementary School","06-073-1022","AQS","63","35","53","06/03/2016","06/03/2001"
"06/04/2018","61","Pala Airpad","06-073-1201","AQS","65","25","51.6","06/04/2016","06/04/2008"
"06/05/2018","65","Pala Airpad","06-073-1201","AQS","85","17","54.2","06/05/2002","06/05/2009"
"06/06/2018","63","Pala Airpad","06-073-1201","AQS","91","19","47.8","06/06/2001","06/06/2009"
"06/07/2018","58","Pala Airpad","06-073-1201","AQS","76","22","48.2","06/07/2001","06/07/2009"
"06/08/2018","56","Pala Airpad","06-073-1201","AQS","79","27","52.4","06/08/2001","06/08/2000"
"06/09/2018","56","Pala Airpad","06-073-1201","AQS","76","21","51.4","06/09/2001","06/09/2003"
"06/10/2018","61","Pala Airpad","06-073-1201","AQS","76","21","51.8","06/10/2019","06/10/2003"
"06/11/2018","59","Donovan","06-073-1014","AQS","70","26","44.6","06/11/2012","06/11/2017"
"06/12/2018","59","Alpine","06-073-1006","AQS","67","0","46.4","06/12/2012","06/12/2000"
"06/13/2018","54","Alpine","06-073-1006","AQS","80","28","44.6","06/13/2006","06/13/2015"
"06/14/2018","60","Pala Airpad","06-073-1201","AQS","81","33","52.6","06/14/2000","06/14/2015"
"06/15/2018","60","Pala Airpad","06-073-1201","AQS","84","28","57","06/15/2010","06/15/2009"
"06/16/2018","60","Pala Airpad","06-073-1201","AQS","75","15","60","06/16/2010","06/16/2008"
"06/17/2018","53","Pala Airpad","06-073-1201","AQS","85","31","62.4","06/17/2003","06/17/2005"
"06/18/2018","27","Pala Airpad","06-073-1201","AQS","97","24","54.2","06/18/2016","06/18/2005"
"06/19/2018","41","Camp Pendleton","06-073-1008","AQS","92","31","56.2","06/19/2002","06/19/2005"
"06/20/2018","57","Pala Airpad","06-073-1201","AQS","74","34","60.8","06/20/2016","06/20/2003"
"06/21/2018","59","Pala Airpad","06-073-1201","AQS","76","32","55.6","06/21/2002","06/21/2008"
"06/22/2018","62","Pala Airpad","06-073-1201","AQS","67","24","51.2","06/22/2011","06/22/2019"
"06/23/2018","60","Pala Airpad","06-073-1201","AQS","68","34","50.6","06/23/2008","06/23/2019"
"06/24/2018","57","Pala Airpad","06-073-1201","AQS","70","41","56.6","06/24/2010","06/24/2017"
"06/25/2018","55","Pala Airpad","06-073-1201","AQS","69","36","59.8","06/25/2016","06/25/2005"
"06/26/2018","56","Pala Airpad","06-073-1201","AQS","75","22","61.6","06/26/2017","06/26/2010"
"06/27/2018","44","Pala Airpad","06-073-1201","AQS","95","27","58.2","06/27/2001","06/27/2010"
"06/28/2018","49","Pala Airpad","06-073-1201","AQS","69","29","50.2","06/28/2008","06/28/2001"
"06/29/2018","58","Pala Airpad","06-073-1201","AQS","66","25","53.6","06/29/2009","06/29/2010"
"06/30/2018","63","Pala Airpad","06-073-1201","AQS","76","31","62.8","06/30/2001","06/30/2011"
"07/01/2018","53","Pala Airpad","06-073-1201","AQS","77","18","60.8","07/01/2010","07/01/2004"
"07/02/2018","29","Pala Airpad","06-073-1201","AQS","76","29","52.2","07/02/2008","07/02/2018"
"07/03/2018","37","Alpine","06-073-1006","AQS","93","36","50.2","07/03/2008","07/03/2002"
"07/04/2018","42","Pala Airpad","06-073-1201","AQS","107","34","51","07/04/2008","07/04/2015"
"07/05/2018","63","Camp Pendleton","06-073-1008","AQS","117","25","52.2","07/05/2008","07/05/2015"
"07/06/2018","64","Pala Airpad","06-073-1201","AQS","82","22","49.8","07/06/2008","07/06/2013"
"07/07/2018","70","Pala Airpad","06-073-1201","AQS","81","30","55.6","07/07/2008","07/07/2013"
"07/08/2018","69","Pala Airpad","06-073-1201","AQS","80","33","61","07/08/2008","07/08/2004"
"07/09/2018","63","Pala Airpad","06-073-1201","AQS","79","30","58","07/09/2008","07/09/2004"
"07/10/2018","62","Pala Airpad","06-073-1201","AQS","65","27","54.2","07/10/2019","07/10/2015"
"07/11/2018","62","Alpine","06-073-1006","AQS","73","18","52","07/11/2012","07/11/2015"
"07/12/2018","59","Pala Airpad","06-073-1201","AQS","72","25","50.8","07/12/2012","07/12/2015"
"07/13/2018","56","Pala Airpad","06-073-1201","AQS","75","36","55.2","07/13/2012","07/13/2007"
"07/14/2018","55","Pala Airpad","06-073-1201","AQS","75","37","55","07/14/2019","07/14/2017"
"07/15/2018","55","Pala Airpad","06-073-1201","AQS","74","40","59.6","07/15/2019","07/15/2000"
"07/16/2018","54","Pala Airpad","06-073-1201","AQS","73","39","58.4","07/16/2019","07/16/2001"
"07/17/2018","52","Pala Airpad","06-073-1201","AQS","73","34","55.4","07/17/2003","07/17/2014"
"07/18/2018","45","Alpine","06-073-1006","AQS","64","24","51.8","07/18/2019","07/18/2014"
"07/19/2018","53","Pala Airpad","06-073-1201","AQS","65","28","50.6","07/19/2000","07/19/2014"
